0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:51 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:53 +0900] "POST /FoodTrip/board/addLike HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:53 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:55 +0900] "POST /FoodTrip/board/cancelLike HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:08:55 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:11:43 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 5255
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:11:44 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 5255
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:11:48 +0900] "GET /FoodTrip/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:11:48 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:11:49 +0900] "GET /FoodTrip/member/login HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:11:52 +0900] "POST /FoodTrip/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:14:11:52 +0900] "GET /FoodTrip/ HTTP/1.1" 200 421
